編輯總資料庫
,成語,出處,頻次
232,一去不復返,"[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)
[AB]:漢英對照成語辭典",3
233,一去不復還,"[J]:漢語成語考釋詞典",1
234,一去無蹤,"[S]:活用成語分類辭典(上)(下)",1
235,一古腦兒,"[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
236,一句撞到墻,"[J]:漢語成語考釋詞典",1
237,一叩洪鐘,"[W]:成語大辭典(上)(下)",1
238,一失足成千古恨,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",11
239,一奶同胞,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)",2
240,一平如鏡,"[V]:中國成語大辭典",1
241,一打三分低,"[W]:成語大辭典(上)(下)",1
242,一旦一夕,"[AC]:成語典",1
243,一旦緩急,"[S]:活用成語分類辭典(上)(下)",1
244,一本十利,"[J]:漢語成語考釋詞典",1
245,一本正經,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",12
246,一本初衷,"[O(上)]:讀成語寫作文(上)(下)",1
247,一本萬利,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",12
248,一本萬殊,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
249,一民同俗,"[K]:中國成語大辭典",1
250,一永一觴,"[K]:中國成語大辭典",1
251,一瓜共食,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
252,一生一世,"[AB]:漢英對照成語辭典",1
253,一生九死,"[J]:漢語成語考釋詞典",1
254,一生之計在於勤,"[AC]:成語典",1
255,一生吃著不盡,"[I]:實用分類學生成語辭典(上)(下)",1
256,一生受用不盡,"[B]:中國成語大辭典
[T]:成語辨正辭典
[V]:中國成語大辭典",3
257,一申燕賀,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",4
258,一目了然,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[P(下)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典",15
259,一目十行,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",18
260,一目之羅不可以得鳥,"[B]:中國成語大辭典",1
261,一目五行,"[J]:漢語成語考釋詞典",1
262,一目即了,"[J]:漢語成語考釋詞典",1
263,一目數行,"[J]:漢語成語考釋詞典",1
264,一目瞭然,"[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[AC]:成語典",3
265,一矢雙穿,"[AG]:典故大詞典",1
266,一石二鳥,"[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典",3
267,一石兩鳥,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",7
268,一石雙鳥,"[AC]:成語典",1
269,一份舊貫,"[I]:實用分類學生成語辭典(上)(下)",1
270,一匡天下,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)",4
271,一吐為快,"[E]:成語辭典
[L]:小叮噹漫書成語小百科(1)~(10)",2
272,一向無敵,"[T]:成語辨正辭典",1
273,一如既往,"[E]:成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",6
274,一字一板,"[B]:中國成語大辭典
[K]:中國成語大辭典
[AC]:成語典",3
275,一字一珠,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
276,一字一淚,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
277,一字入公門九牛曳不出,"[B]:中國成語大辭典",1
278,一字千金,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",18
279,一字不易,"[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",5
280,一字不差,"[AB]:漢英對照成語辭典",1
281,一字不苟,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
282,一字不識,"[K]:中國成語大辭典",1
283,一字之師,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)",6
284,一字百金,"[J]:漢語成語考釋詞典",1
285,一字長蛇陣,"[K]:中國成語大辭典",1
286,一字眉,"[O(下)]:讀成語寫作文(上)(下)",1
287,一字值千金,"[K]:中國成語大辭典",1
288,一字師,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",6
289,一字褎貶,"[G(1)]:實用成語辭典",1
290,一字褒貶,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",10
291,一帆風順,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",17
292,一年一度,"[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
293,一年之計在於春,"[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",8
294,一年半載,"[B]:中國成語大辭典
[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
295,一年到頭,"[B]:中國成語大辭典
[E]:成語辭典
[V]:中國成語大辭典
[AB]:漢英對照成語辭典",4
296,一年容易,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
297,一年容易又秋風,"[AC]:成語典",1
298,一年被蛇咬，三年怕草索,"[K]:中國成語大辭典",1
299,一年幾見月當頭,"[AC]:成語典",1
300,一式一樣,"[J]:漢語成語考釋詞典",1
301,一弛一張,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
302,一曲之士,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
303,一曲之見,"[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)",4
304,一曲陽關,"[K]:中國成語大辭典",1
305,一死一生,"[K]:中國成語大辭典",1
306,一死一生，乃知交情,"[G(1)]:實用成語辭典
[P(下)]:成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典",5
307,一死了之,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",6
308,一江春水向東流,"[P(下)]:成語分類辭典(上)(下)",1
309,一百二十行,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
310,一百必信，行必果,"[AC]:成語典",1
311,一竹竿打到底,"[G(1)]:實用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
312,一竹竿到底,"[J]:漢語成語考釋詞典",1
313,一羽不舉,"[B]:中國成語大辭典",1
314,一而二，二而一,"[AB]:漢英對照成語辭典",1
315,一而二二而三,"[AC]:成語典",1
316,一而再，再而三,"[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[V]:中國成語大辭典
[AB]:漢英對照成語辭典
[AC]:成語典",5
317,一而再再而三,"[B]:中國成語大辭典",1
318,一而散,"[AC]:成語典",1
319,一至此,"[J]:漢語成語考釋詞典",1
320,一至於此,"[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
321,一至於斯,"[J]:漢語成語考釋詞典",1
322,一虎難敵眾犬,"[K]:中國成語大辭典",1
323,一行作吏,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
324,一衣帶水,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",17
325,一串珠,"[J]:漢語成語考釋詞典",1
326,一串驪珠,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)",4
327,一何至此,"[J]:漢語成語考釋詞典",1
328,一佛出世，二佛生天,"[K]:中國成語大辭典",1
329,一佛出世，二佛涅槃,"[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典",6
330,一佛出世二佛涅槃,"[B]:中國成語大辭典",1
331,一佛出世，二佛涅盤,"[P(下)]:成語分類辭典(上)(下)
[AC]:成語典",2
332,一兵一卒,"[U]:同義反義成語詞典",1
333,一別如雨,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
334,一吹一唱,"[J]:漢語成語考釋詞典",1
335,一坐盡傾,"[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",5
336,一坐盡驚,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
337,一坐稱善,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",4
338,一希望,"[AB]:漢英對照成語辭典",1
339,一床兩好,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
340,一床錦被遮蓋,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
341,一床錦被蓋過,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[W]:成語大辭典(上)(下)",3
342,一成一旅,"[B]:中國成語大辭典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
343,一成一變,"[B]:中國成語大辭典",1
344,一成不易,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
345,一成不變,"[C]:經典成語
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(下)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",17
346,一技一能,"[AC]:成語典",1
347,一技之長,"[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[W]:成語大辭典(上)(下)
[AC]:成語典",11
348,一把汗,"[AC]:成語典",1
349,一把眼淚，一把鼻涕,"[O(上)]:讀成語寫作文(上)(下)",1
350,一抔土,"[A]:彩圖典故辭典(精)
[AC]:成語典",2
351,一抔之土,"[AD]:洪葉活用成語辭典",1
352,一抔之土未乾,"[AB]:漢英對照成語辭典",1
353,一抔黃土,"[E]:成語辭典
[K]:中國成語大辭典",2
354,一折一伏,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
355,一折一磨,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
356,一改故歉,"[K]:中國成語大辭典",1
357,一改故轍,"[U]:同義反義成語詞典",1
358,一杖一條痕,"[J]:漢語成語考釋詞典",1
359,一步一計,"[AA]:成語典故文選(上)(下)",1
360,一步一個印,"[AB]:漢英對照成語辭典",1
361,一步一個腳印,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
362,一步一鬼,"[K]:中國成語大辭典",1
363,一步一趨,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
364,一步登天,"[B]:中國成語大辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[W]:成語大辭典(上)(下)
[AC]:成語典",13
365,一決,"[J]:漢語成語考釋詞典",1
366,一決勝負,"[K]:中國成語大辭典",1
367,一決雌雄,"[B]:中國成語大辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AD]:洪葉活用成語辭典",13
368,一沐三捉發,"[K]:中國成語大辭典",1
369,一沐三握髮,"[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",5
370,一男半女,"[B]:null
[E]:null
[J]:null
[K]:null
[S]:null
[W]:null
[AC]:成語典",7
371,一系列,"[E]:成語辭典",1
372,一系相承,"[J]:漢語成語考釋詞典",1
373,一肚子鬼胎,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
374,一肚子眼淚,"[J]:漢語成語考釋詞典",1
375,一見如故,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",20
376,一見如舊,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
377,一見傾心,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[AC]:成語典",10
378,一見傾倒,"[J]:漢語成語考釋詞典",1
379,一見鍾情,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",10
380,一言一行,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
381,一言一動,"[K]:中國成語大辭典",1
382,一言一淚,"[J]:漢語成語考釋詞典",1
383,一言九鼎,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",22
384,一言千金,"[K]:中國成語大辭典
[AC]:成語典",2
